age,id,color,intake,sex,time
1 year,A698653,Brown Tabby,Owner Surrender,Male,4
7 months,A742994,Cream Tabby,Stray,Male,4
3 months,A683200,Orange Tabby,Owner Surrender,Male,4
4 months,A707832,Colourpoint,Owner Surrender,Male,4
4 months,A691315,Brown Tabby,Stray,Male,4
1 month,A728801,Cream Tabby,Stray,Female,4
2 months,A678095,Brown Tabby,Stray,Male,4
2 months,A703440,Blue,Stray,Male,4
5 years,A720323,Blue,Stray,Female,4
1 year,A683799,Brown Tabby,Owner Surrender,Female,4
2 months,A703442,Tortie,Stray,Female,4
2 months,A679115,Black,Owner Surrender,Male,4
2 months,A679117,Brown Tabby,Owner Surrender,Male,4
5 months,A720362,Brown Tabby,Stray,Male,4
2 months,A763825,Black,Owner Surrender,Female,4
4 months,A710519,Black and White,Owner Surrender,Male,4
7 years,A699167,Tortie,Owner Surrender,Male,4
4 months,A730497,Calico,Stray,Female,4
2 months,A699679,Blue,Stray,Male,4
2 years,A631379,Blue,Owner Surrender,Male,4
2 months,A679119,Brown Tabby,Owner Surrender,Female,4
2 months,A766986,Black,Stray,Male,4
2 months,A751938,Blue,Stray,Male,4
2 months,A740409,Black,Stray,Female,4
2 months,A704757,Blue,Stray,Female,4
1 month,A752812,Brown Tabby,Stray,Female,4
8 months,A694218,Calico,Owner Surrender,Female,4
1 month,A732855,Colourpoint,Stray,Female,4
2 months,A704033,Gray Tabby,Owner Surrender,Male,4
1 month,A752811,Orange Tabby,Stray,Male,4
2 months,A705194,Blue,Stray,Male,4
1 month,A752814,Calico,Stray,Female,4
2 months,A684044,Brown Tabby,Stray,Male,4
1 month,A732851,Colourpoint,Stray,Male,4
2 months,A750076,Black and White,Stray,Male,4
6 months,A690000,Blue,Stray,Female,4
2 months,A754236,Calico,Stray,Female,4
2 months,A746419,Blue,Stray,Female,4
11 months,A748284,Blue,Owner Surrender,Female,4
2 months,A694512,Orange Tabby,Stray,Male,4
6 years,A745258,White,Stray,Male,4
5 years,A658555,Blue,Stray,Male,4
1 month,A747983,Blue,Stray,Female,4
2 months,A692164,Brown Tabby,Stray,Male,4
6 months,A745494,Blue,Stray,Male,4
1 month,A732844,Brown Tabby,Stray,Female,4
1 year,A697329,Brown Tabby,Stray,Female,4
6 months,A721646,Orange Tabby,Stray,Male,4
2 months,A731010,Colourpoint,Stray,Female,4
2 years,A747106,Black,Stray,Male,4
5 years,A696354,Blue,Stray,Male,4
1 month,A750625,Brown Tabby,Stray,Female,4
2 months,A689487,Calico,Stray,Female,4
1 month,A767156,Tortie,Stray,Female,4
5 years,A675887,Blue,Owner Surrender,Male,4
8 years,A692152,Brown Tabby,Stray,Male,4
2 months,A735509,Brown Tabby,Stray,Male,4
2 months,A735510,Brown Tabby,Stray,Female,4
1 month,A739539,Calico,Stray,Female,4
1 year,A635698,Black,Stray,Male,4
2 months,A745882,Tortie,Stray,Female,4
3 years,A768202,Tortie,Owner Surrender,Male,4
2 months,A754424,Blue,Stray,Female,4
2 months,A728656,Brown Tabby,Stray,Male,4
2 months,A683606,Brown Tabby,Stray,Female,4
1 year,A734658,Black and White,Stray,Female,4
11 years,A474000,Brown Tabby,Owner Surrender,Male,4
4 months,A761371,Colourpoint,Stray,Female,4
11 years,A474001,White,Owner Surrender,Male,4
5 months,A710057,Brown Tabby,Stray,Female,4
5 months,A710056,Brown Tabby,Stray,Male,4
2 months,A710279,Orange Tabby,Stray,Male,4
2 months,A710282,Orange Tabby,Stray,Male,4
1 month,A684866,White,Stray,Male,4
1 month,A695312,Brown Tabby,Stray,Male,4
3 months,A765447,Brown Tabby,Stray,Female,4
1 month,A751827,Tortie,Owner Surrender,Female,4
5 months,A767510,Orange Tabby,Stray,Male,4
2 months,A737462,Orange Tabby,Stray,Female,4
2 months,A728859,Brown Tabby,Stray,Female,4
5 months,A694794,Brown Tabby,Stray,Female,4
1 month,A764942,Torbie,Stray,Female,4
2 months,A704350,Cream Tabby,Owner Surrender,Male,4
1 year,A733105,Blue,Stray,Male,4
1 month,A753515,Brown Tabby,Stray,Female,4
1 year,A744511,Colourpoint,Owner Surrender,Female,4
4 months,A695081,Black,Stray,Female,4
6 years,A519025,Blue,Owner Surrender,Male,4
2 months,A753027,Torbie,Stray,Female,4
1 month,A749057,Black,Stray,Female,4
1 year,A721514,Blue,Stray,Male,4
2 months,A667286,Colourpoint,Stray,Male,4
3 months,A752662,Orange Tabby,Stray,Male,4
4 months,A765725,Orange Tabby,Stray,Female,4
5 years,A708820,Tortie,Stray,Male,4
11 months,A763103,Black,Owner Surrender,Male,4
2 months,A728654,Brown Tabby,Stray,Male,4
2 months,A728655,Brown Tabby,Stray,Male,4
2 months,A683411,Colourpoint,Stray,Male,4
1 year,A743839,Brown Tabby,Owner Surrender,Female,4
4 months,A677658,Brown Tabby,Stray,Female,4
1 year,A733346,Brown Tabby,Owner Surrender,Male,4
2 months,A733927,Orange Tabby,Stray,Male,4
3 months,A757068,Black,Stray,Male,4
2 months,A756485,Blue,Stray,Female,4
1 month,A753205,Cream Tabby,Stray,Female,4
1 month,A753207,Cream Tabby,Stray,Male,4
4 years,A751038,Colourpoint,Stray,Male,4
2 months,A752187,Calico,Stray,Female,4
9 months,A676170,Orange Tabby,Owner Surrender,Male,4
7 months,A677651,Orange Tabby,Stray,Male,4
2 months,A735752,Black,Stray,Female,4
2 months,A714603,Blue,Stray,Female,4
2 months,A714602,Brown Tabby,Stray,Female,4
2 months,A698230,Brown Tabby,Stray,Male,4
2 months,A735511,Black,Stray,Male,4
1 year,A742711,Black,Stray,Male,4
2 months,A751937,Blue,Stray,Male,4
1 month,A702205,Brown Tabby,Stray,Male,4
2 months,A730291,Brown Tabby,Stray,Male,4
2 months,A752018,Torbie,Stray,Female,4
2 months,A689648,Orange Tabby,Owner Surrender,Male,4
2 months,A755454,Blue,Stray,Male,4
2 months,A755451,Blue,Stray,Female,4
2 months,A713144,Brown Tabby,Stray,Male,4
2 months,A689647,Brown Tabby,Owner Surrender,Female,4
2 months,A713143,Brown Tabby,Stray,Male,4
2 months,A755715,Black,Stray,Female,4
4 months,A695786,Brown Tabby,Stray,Male,4
1 month,A747981,Brown Tabby,Stray,Male,4
2 months,A763589,Gray Tabby,Stray,Male,4
4 months,A695785,Orange Tabby,Stray,Male,4
2 months,A679653,Blue,Stray,Male,4
2 months,A750154,Brown Tabby,Stray,Male,4
1 year,A738925,Colourpoint,Stray,Male,4
2 months,A746415,Torbie,Stray,Female,4
4 months,A765358,Orange Tabby,Stray,Male,4
2 months,A689582,Brown Tabby,Stray,Female,4
3 months,A756600,White,Stray,Male,4
7 months,A757296,Black and White,Stray,Male,4
2 months,A714917,Brown Tabby,Owner Surrender,Male,4
2 months,A689581,Brown Tabby,Stray,Female,4
2 months,A710831,Brown Tabby,Stray,Female,4
4 months,A676461,Brown Tabby,Stray,Male,4
2 months,A761373,Orange Tabby,Stray,Male,4
2 months,A756487,Blue,Stray,Female,4
2 months,A738036,Brown Tabby,Stray,Female,4
1 year,A765930,Brown Tabby,Stray,Male,4
2 months,A666971,Orange Tabby,Stray,Male,4
2 months,A751935,Blue,Stray,Female,4
2 months,A686100,Calico,Stray,Female,4
2 months,A717171,Blue,Stray,Male,4
2 months,A730900,Blue,Stray,Male,4
6 years,A691947,Colourpoint,Owner Surrender,Male,4
2 months,A766496,Black and White,Stray,Male,4
1 year,A672477,Gray Tabby,Stray,Male,4
2 months,A766497,Orange Tabby,Stray,Male,4
7 months,A740428,Black,Owner Surrender,Male,4
2 months,A735937,Brown Tabby,Stray,Female,4
3 months,A765446,Brown Tabby,Stray,Female,4
2 months,A733266,Black,Stray,Male,4
8 months,A754221,Blue,Owner Surrender,Male,4
3 months,A750383,Blue,Owner Surrender,Male,4
2 months,A739797,Brown Tabby,Stray,Female,4
2 months,A739798,Brown Tabby,Stray,Female,4
2 months,A695967,Black and White,Stray,Male,4
1 month,A749056,Blue,Stray,Male,4
2 months,A684662,Brown Tabby,Stray,Male,4
1 month,A679654,Orange Tabby,Stray,Male,4
1 year,A708894,Calico,Owner Surrender,Male,4
3 years,A745152,Brown Tabby,Owner Surrender,Male,4
2 months,A697256,Colourpoint,Stray,Male,4
3 months,A766636,Tortie,Owner Surrender,Female,4
10 months,A768677,Calico,Stray,Male,4
2 months,A677879,Colourpoint,Stray,Male,4
1 month,A728648,Tortie,Stray,Female,4
1 month,A685706,Black and White,Stray,Female,4
2 months,A749066,Blue,Stray,Female,4
2 months,A733255,Calico,Stray,Female,4
3 years,A723425,Blue,Owner Surrender,Male,4
2 months,A727659,Blue,Owner Surrender,Female,4
2 months,A760902,Brown Tabby,Stray,Female,4
2 years,A765552,Brown Tabby,Stray,Female,4
1 month,A726989,Calico,Stray,Female,4
2 months,A698060,Blue,Stray,Female,4
2 months,A739652,Blue,Stray,Female,4
1 month,A751826,Calico,Owner Surrender,Female,4
2 months,A709854,Orange Tabby,Owner Surrender,Male,4
6 months,A669876,Black and White,Stray,Male,4
4 months,A672722,Cream Tabby,Stray,Female,4
3 months,A739639,Orange Tabby,Stray,Male,4
3 months,A718935,Blue,Stray,Male,4
7 years,A761156,Calico,Stray,Female,4
1 year,A675508,Orange Tabby,Stray,Male,4
4 years,A685558,Blue,Stray,Male,4
2 months,A684173,Colourpoint,Stray,Female,4
2 months,A719641,Brown Tabby,Stray,Male,4
2 months,A719639,Blue,Stray,Female,4
1 month,A754826,Brown Tabby,Stray,Female,4
3 years,A694432,Calico,Owner Surrender,Male,4
6 months,A701700,Calico,Stray,Female,4
2 months,A740995,Cream Tabby,Stray,Male,4
3 months,A765412,Gray Tabby,Stray,Female,4
2 months,A712326,Black and White,Stray,Female,4
2 months,A683596,Brown Tabby,Stray,Male,4
2 months,A698061,Brown Tabby,Stray,Female,4
2 months,A759011,Gray Tabby,Stray,Female,4
2 months,A729452,Colourpoint,Stray,Female,4
2 months,A734993,Blue,Owner Surrender,Female,4
2 months,A755711,Black,Stray,Male,4
2 months,A764852,Brown Tabby,Stray,Male,4
10 months,A669721,Calico,Owner Surrender,Female,4
4 months,A707830,Orange Tabby,Stray,Male,4
2 months,A759251,Gray Tabby,Stray,Male,4
2 months,A674921,Blue,Owner Surrender,Male,4
8 years,A720351,Orange Tabby,Stray,Male,4
3 months,A760944,Black and White,Owner Surrender,Female,4
2 months,A749924,Black and White,Stray,Female,4
4 years,A675519,Orange Tabby,Owner Surrender,Male,4
2 years,A735805,Torbie,Owner Surrender,Male,4
3 years,A679252,Brown Tabby,Stray,Male,4
2 months,A755453,Blue,Stray,Male,4
2 months,A698062,Brown Tabby,Stray,Female,4
2 months,A732960,Calico,Stray,Female,4
4 years,A756844,Orange Tabby,Owner Surrender,Male,4
2 months,A735263,Brown Tabby,Stray,Male,4
2 years,A767104,Brown Tabby,Stray,Male,4
2 months,A728249,Cream Tabby,Stray,Male,4
1 year,A722081,Colourpoint,Stray,Female,4
2 months,A707643,Torbie,Stray,Male,4
2 months,A687744,Black and White,Owner Surrender,Female,4
2 months,A745884,Black,Stray,Male,4
6 months,A687884,Brown Tabby,Stray,Female,4
1 year,A722303,Orange Tabby,Stray,Male,4
1 month,A767159,Orange Tabby,Stray,Male,4
2 months,A727314,White,Stray,Female,4
2 months,A730278,Black,Stray,Female,4
2 months,A755716,Blue,Stray,Female,4
2 months,A730276,Brown Tabby,Stray,Female,4
2 months,A691203,White,Stray,Female,4
2 months,A759484,Blue,Stray,Male,4
3 months,A683459,Cream Tabby,Stray,Female,4
2 months,A766170,Blue,Stray,Male,4
5 months,A694607,Brown Tabby,Stray,Male,4
2 months,A706086,Cream Tabby,Stray,Male,4
2 months,A706732,Orange Tabby,Stray,Male,4
1 year,A695370,Brown Tabby,Stray,Female,4
5 months,A737372,Black and White,Stray,Male,4
5 months,A684763,Colourpoint,Stray,Male,4
2 months,A756055,Brown Tabby,Stray,Male,4
2 years,A748050,Brown Tabby,Stray,Male,4
5 months,A684764,Colourpoint,Stray,Male,4
3 months,A739636,Calico,Stray,Female,4
1 month,A760314,Colourpoint,Stray,Male,4
2 months,A733265,Orange Tabby,Stray,Female,4
2 months,A759252,Torbie,Stray,Female,4
3 years,A708519,Colourpoint,Owner Surrender,Male,4
3 months,A739637,Black and White,Stray,Male,4
3 months,A683656,Colourpoint,Stray,Male,4
2 months,A689196,Torbie,Stray,Female,4
2 months,A755361,Brown Tabby,Owner Surrender,Female,4
2 years,A695288,Blue,Owner Surrender,Male,4
3 months,A693189,Cream Tabby,Stray,Male,4
4 months,A697471,Orange Tabby,Stray,Male,4
2 months,A763829,Orange Tabby,Stray,Male,4
2 months,A709260,Black,Owner Surrender,Female,4
2 months,A705284,Brown Tabby,Stray,Female,4
9 months,A766721,Black,Owner Surrender,Female,4
2 months,A689916,Brown Tabby,Stray,Male,4
2 months,A705285,White,Stray,Female,4
2 months,A709985,Black and White,Stray,Female,4
2 months,A720256,Black and White,Stray,Female,4
1 month,A760313,Blue,Stray,Female,4
1 year,A746373,Orange Tabby,Stray,Male,4
2 months,A682417,Brown Tabby,Stray,Male,4
3 months,A696230,Black and White,Owner Surrender,Male,4
3 months,A696229,Black and White,Owner Surrender,Female,4
4 years,A751091,Brown Tabby,Owner Surrender,Male,4
2 months,A734468,Black,Stray,Female,4
1 month,A738444,Blue,Stray,Male,4
2 months,A758381,Brown Tabby,Stray,Male,4
2 months,A750650,Orange Tabby,Stray,Male,4
3 months,A735987,Colourpoint,Stray,Female,4
4 months,A711748,Tortie,Stray,Female,4
3 months,A668393,Tortie,Stray,Female,4
4 months,A715594,Black,Stray,Female,4
1 month,A686472,Blue,Stray,Male,4
2 years,A670943,Blue,Stray,Male,4
6 months,A766495,Blue,Stray,Female,4
4 months,A711747,Orange Tabby,Stray,Male,4
2 months,A710281,Orange Tabby,Owner Surrender,Female,4
11 months,A767778,Blue,Owner Surrender,Male,4
6 months,A669173,Brown Tabby,Stray,Male,4
1 month,A760307,Orange Tabby,Stray,Female,4
4 months,A669885,Black,Stray,Female,4
5 years,A751820,Black,Owner Surrender,Male,4
2 months,A679851,Black and White,Stray,Female,4
2 months,A728653,Brown Tabby,Stray,Female,4
1 month,A726994,Calico,Stray,Female,4
2 months,A697727,Calico,Stray,Female,4
2 months,A687512,Cream Tabby,Owner Surrender,Male,4
2 months,A738011,Tortie,Stray,Female,4
12 years,A417642,Black,Stray,Male,4
2 months,A759791,Brown Tabby,Stray,Female,4
2 months,A759792,Brown Tabby,Stray,Female,4
1 month,A753203,Cream Tabby,Stray,Female,4
5 years,A744733,Blue,Owner Surrender,Male,4
4 months,A695855,Brown Tabby,Stray,Male,4
1 year,A700532,Brown Tabby,Owner Surrender,Male,4
2 months,A768290,Brown Tabby,Stray,Female,4
2 months,A684256,Calico,Stray,Female,4
2 months,A735938,Brown Tabby,Stray,Female,4
3 months,A695227,Calico,Stray,Female,4
1 month,A767157,Orange Tabby,Stray,Male,4
11 years,A766675,Colourpoint,Owner Surrender,Male,4
1 year,A743286,Torbie,Stray,Female,4
2 months,A683585,Blue,Stray,Female,4
4 months,A677787,Brown Tabby,Stray,Male,4
2 months,A729691,Calico,Stray,Female,4
2 months,A759485,Cream Tabby,Stray,Male,4
2 years,A676658,Colourpoint,Stray,Female,4
2 months,A701366,Brown Tabby,Stray,Male,4
3 months,A685643,Colourpoint,Stray,Female,4
2 months,A742083,Cream Tabby,Stray,Male,4
4 months,A755815,Black,Owner Surrender,Female,4
3 months,A755814,Brown Tabby,Owner Surrender,Female,4
2 months,A697734,Calico,Stray,Female,4
2 months,A758457,Colourpoint,Owner Surrender,Male,4
2 months,A729565,Silver Tabby,Stray,Male,4
5 years,A767027,Tortie,Owner Surrender,Male,4
2 months,A665911,Orange Tabby,Stray,Male,4
3 months,A711071,Brown Tabby,Stray,Male,4
2 months,A757206,Calico,Stray,Female,4
2 months,A666972,Orange Tabby,Stray,Female,4
2 months,A685772,Brown Tabby,Stray,Male,4
2 months,A749847,Brown Tabby,Stray,Male,4
6 years,A746450,Black and White,Stray,Male,4
2 months,A711329,Brown Tabby,Stray,Female,4
8 years,A697066,Colourpoint,Owner Surrender,Male,4
2 months,A687146,Blue,Stray,Male,4
2 months,A665022,Calico,Stray,Female,4
1 month,A755639,Cream Tabby,Stray,Male,4
1 month,A741278,Black and White,Stray,Male,4
2 months,A711328,Brown Tabby,Stray,Male,4
2 months,A679188,Brown Tabby,Stray,Female,4
2 months,A698063,Colourpoint,Stray,Female,4
2 months,A687148,Black,Stray,Male,4
4 months,A695126,Colourpoint,Stray,Female,4
1 month,A722091,Black,Stray,Female,4
4 months,A730605,Black,Stray,Male,4
1 month,A753206,Cream Tabby,Stray,Male,4
2 months,A707806,Colourpoint,Stray,Male,4
4 months,A686148,Blue,Stray,Male,4
1 year,A726564,Colourpoint,Stray,Female,4
2 months,A711327,Tortie,Stray,Female,4
2 years,A766138,Brown Tabby,Stray,Male,4
4 months,A734034,Orange Tabby,Stray,Male,4
1 month,A767158,Orange Tabby,Stray,Male,4
2 months,A749851,Black,Stray,Male,4
2 months,A750839,Brown Tabby,Stray,Male,4
5 months,A729807,Black and White,Stray,Male,4
2 months,A729269,Brown Tabby,Stray,Female,4
1 year,A699499,Black and White,Stray,Male,4
2 months,A734641,Brown Tabby,Stray,Female,4
2 months,A749849,Calico,Stray,Female,4
2 months,A736736,Brown Tabby,Owner Surrender,Male,4
3 months,A683114,Orange Tabby,Stray,Male,4
4 months,A768284,Orange Tabby,Stray,Male,4
4 months,A750284,Black,Stray,Male,4
2 months,A763824,Black,Owner Surrender,Male,4
3 months,A683778,Black,Stray,Female,4
2 months,A702849,Calico,Stray,Female,4
2 months,A738230,Cream Tabby,Stray,Male,4
2 years,A697724,Orange Tabby,Stray,Male,4
5 months,A733114,Gray Tabby,Owner Surrender,Male,4
2 months,A667460,White,Stray,Male,4
2 months,A688756,White,Stray,Male,4
1 year,A700115,Black,Stray,Male,4
4 months,A768805,Black,Stray,Male,4
3 months,A683779,Black,Stray,Female,4
1 month,A745627,Black,Stray,Female,4
4 months,A718411,Blue,Owner Surrender,Male,4
4 months,A742534,Brown Tabby,Stray,Male,4
2 months,A702853,Orange Tabby,Stray,Male,4
1 year,A756563,Colourpoint,Stray,Female,4
1 month,A756565,Colourpoint,Stray,Female,4
1 year,A693604,Black,Owner Surrender,Female,4
2 months,A687492,Brown Tabby,Stray,Male,4
2 months,A690032,Orange Tabby,Stray,Female,4
5 months,A694824,Tortie,Stray,Female,4
10 months,A682473,Black and White,Stray,Female,4
6 months,A665153,Orange Tabby,Stray,Male,4
2 months,A695298,Brown Tabby,Stray,Male,4
2 months,A730201,Calico,Stray,Female,4
2 months,A760137,Colourpoint,Stray,Female,4
5 months,A684760,Colourpoint,Stray,Female,4
5 months,A666123,Colourpoint,Stray,Male,4
2 months,A712655,Orange Tabby,Stray,Male,4
2 years,A751693,Black and White,Stray,Male,4
1 month,A689629,Torbie,Stray,Female,4
5 months,A742418,Tortie,Stray,Female,4
2 months,A697733,Blue,Stray,Female,4
2 months,A757208,Torbie,Stray,Female,4
1 month,A690277,Calico,Stray,Female,4
2 months,A687158,Colourpoint,Stray,Male,4
1 month,A726992,Orange Tabby,Stray,Male,4
6 months,A765832,Tortie,Stray,Female,4
2 months,A712381,Black,Owner Surrender,Male,4
6 months,A765831,Orange Tabby,Stray,Male,4
6 months,A667015,Brown Tabby,Stray,Male,4
2 months,A757202,Brown Tabby,Stray,Female,4
2 years,A684986,Colourpoint,Owner Surrender,Male,4
3 months,A706974,Blue,Stray,Female,4
4 months,A695260,Orange Tabby,Stray,Male,4
3 months,A683578,Cream Tabby,Stray,Male,4
3 months,A683579,Orange Tabby,Stray,Male,4
4 months,A697358,Calico,Stray,Female,4
1 month,A749055,Blue,Stray,Male,4
2 months,A730021,Brown Tabby,Stray,Male,4
3 months,A695223,Brown Tabby,Stray,Male,4
2 months,A686699,Brown Tabby,Stray,Female,4
10 years,A694913,Blue,Stray,Male,4
2 months,A761113,Brown Tabby,Stray,Male,4
1 month,A710536,Brown Tabby,Stray,Female,4
4 months,A759791,Brown Tabby,Stray,Male,4
2 months,A704455,Blue,Stray,Female,4
2 months,A683651,Brown Tabby,Stray,Female,4
2 months,A683657,Blue,Stray,Male,4
2 months,A749033,Black and White,Stray,Female,4
2 months,A749034,Black and White,Stray,Female,4
2 months,A750454,Brown Tabby,Stray,Male,4
2 months,A697728,Brown Tabby,Stray,Female,4
1 month,A737781,Brown Tabby,Stray,Female,4
2 months,A686942,Orange Tabby,Stray,Male,4
4 years,A694386,Brown Tabby,Stray,Male,4
2 years,A669231,Brown Tabby,Stray,Female,4
1 year,A749312,Black and White,Stray,Male,4
3 months,A758385,Brown Tabby,Stray,Male,4
1 year,A767130,Brown Tabby,Stray,Male,4
2 months,A683104,Colourpoint,Stray,Female,4
5 months,A698592,Calico,Stray,Female,4
4 months,A693827,Calico,Stray,Female,4
2 months,A706384,Colourpoint,Stray,Female,4
2 months,A711331,Blue,Stray,Male,4
1 year,A671675,Blue,Owner Surrender,Male,4
2 months,A665472,Black,Stray,Male,4
3 months,A697730,Blue,Stray,Female,4
2 months,A688612,Brown Tabby,Stray,Male,4
1 year,A723280,Torbie,Stray,Female,4
3 years,A725438,Gray Tabby,Stray,Male,4
2 months,A691883,Orange Tabby,Stray,Male,4
1 year,A694541,Torbie,Stray,Female,4
2 months,A719461,Brown Tabby,Stray,Male,4
1 month,A759919,Brown Tabby,Stray,Male,4
2 months,A728839,Black and White,Owner Surrender,Male,4
2 years,A760982,Orange Tabby,Stray,Male,4
3 months,A728224,Brown Tabby,Stray,Female,4
5 months,A722141,Black,Owner Surrender,Female,4
3 months,A728223,Brown Tabby,Stray,Male,4
2 months,A729678,Orange Tabby,Stray,Male,4
2 years,A753197,Colourpoint,Stray,Female,4
6 years,A527094,Black,Stray,Male,4
2 months,A703496,Black and White,Stray,Female,4
2 months,A706935,Blue,Stray,Male,4
2 months,A730763,Orange Tabby,Stray,Male,4
1 month,A712648,Black,Stray,Male,4
3 months,A730762,Brown Tabby,Stray,Female,4
2 months,A741281,Brown Tabby,Stray,Male,4
2 months,A697731,Brown Tabby,Stray,Male,4
2 months,A665550,Black and White,Stray,Male,4
2 months,A761774,Brown Tabby,Stray,Male,4
2 months,A733797,Brown Tabby,Stray,Female,4
2 months,A707754,Colourpoint,Stray,Female,4
2 months,A707755,Colourpoint,Stray,Male,4
3 months,A731076,Blue,Owner Surrender,Male,4
4 years,A560060,Brown Tabby,Stray,Male,4
2 months,A761114,Brown Tabby,Stray,Female,4
5 months,A714302,Brown Tabby,Owner Surrender,Male,4
2 months,A765441,Tortie,Stray,Female,4
2 months,A718253,Tortie,Stray,Female,4
7 months,A669701,Calico,Stray,Male,4
1 year,A742746,Black,Stray,Male,4
4 months,A766635,Black and White,Stray,Female,4
1 year,A672334,Brown Tabby,Stray,Female,4
1 year,A742745,Cream Tabby,Stray,Male,4
1 month,A736403,White,Stray,Female,4
6 months,A756587,Orange Tabby,Stray,Male,4
4 months,A707137,Brown Tabby,Stray,Male,4
2 months,A757203,Brown Tabby,Stray,Female,4
2 months,A682532,Torbie,Stray,Female,4
2 months,A752627,Brown Tabby,Stray,Male,4
2 months,A716696,Brown Tabby,Owner Surrender,Male,4
4 years,A695724,Cream Tabby,Stray,Male,4
2 months,A680039,Blue,Owner Surrender,Female,4
5 months,A696400,Black,Stray,Female,4
2 months,A725796,Blue,Stray,Male,4
2 months,A682943,Colourpoint,Stray,Male,4
1 year,A735246,Orange Tabby,Stray,Male,4
2 months,A668730,Blue,Stray,Female,4
2 months,A679935,Colourpoint,Stray,Male,4
2 months,A751981,Blue,Stray,Male,4
2 months,A730198,Brown Tabby,Stray,Female,4
1 year,A759817,Brown Tabby,Owner Surrender,Male,4
2 years,A726860,Orange Tabby,Owner Surrender,Male,4
2 months,A734101,Black,Stray,Male,4
3 months,A738500,Blue,Stray,Female,4
1 month,A753204,Cream Tabby,Stray,Male,4
2 months,A758022,Orange Tabby,Stray,Male,4
2 months,A703744,Black,Stray,Female,4
2 months,A683658,Cream Tabby,Stray,Male,4
7 months,A748689,Black and White,Owner Surrender,Male,4
4 months,A768804,Black,Stray,Male,4
2 months,A682370,Brown Tabby,Stray,Female,4
2 months,A724666,Orange Tabby,Stray,Male,4
2 months,A757209,Brown Tabby,Stray,Male,4
4 years,A727634,Calico,Owner Surrender,Male,4
2 months,A739360,Colourpoint,Stray,Male,4
2 months,A693353,Brown Tabby,Stray,Female,4
3 years,A651936,Calico,Stray,Male,4
2 months,A726095,Brown Tabby,Stray,Male,4
2 months,A744660,Calico,Stray,Female,4
3 months,A689082,Torbie,Stray,Male,4
3 months,A736632,Brown Tabby,Stray,Female,4
9 months,A742940,Brown Tabby,Owner Surrender,Male,4
3 months,A744334,Torbie,Stray,Female,4
4 months,A762284,Black and White,Stray,Male,4
2 months,A742306,Colourpoint,Stray,Female,4
2 months,A725799,Calico,Stray,Female,4
6 months,A762211,Gray Tabby,Stray,Male,4
2 months,A708470,Orange Tabby,Stray,Male,4
2 months,A759714,Torbie,Stray,Female,4
3 months,A707807,Blue,Stray,Male,4
3 months,A764122,Brown Tabby,Owner Surrender,Male,4
3 months,A671357,Black,Stray,Male,4
2 months,A750355,Blue,Stray,Female,4
2 months,A712374,Brown Tabby,Stray,Male,4
2 months,A693873,Calico,Stray,Female,4
2 months,A736288,Calico,Stray,Female,4
3 months,A758756,Gray Tabby,Stray,Female,4
2 months,A734691,Orange Tabby,Stray,Male,4
2 months,A749293,Brown Tabby,Stray,Male,4
1 month,A761458,Tortie,Stray,Female,4
1 month,A739780,Orange Tabby,Stray,Male,4
2 months,A671922,Tortie,Stray,Female,4
2 years,A685498,Calico,Owner Surrender,Female,4
3 months,A735731,Calico,Stray,Female,4
3 months,A708899,Cream Tabby,Stray,Male,4
2 months,A755582,Colourpoint,Stray,Female,4
10 months,A720193,Torbie,Stray,Female,4
3 months,A758753,Gray Tabby,Stray,Female,4
2 months,A755174,Orange Tabby,Stray,Male,4
5 months,A721681,Blue,Stray,Male,4
5 months,A721679,Blue,Stray,Female,4
4 months,A697819,Brown Tabby,Stray,Male,4
2 months,A739006,Brown Tabby,Stray,Male,4
2 months,A708346,Blue,Stray,Female,4
1 year,A741284,Black and White,Owner Surrender,Female,4
2 months,A742522,Torbie,Stray,Female,4
2 months,A736289,Brown Tabby,Stray,Male,4
1 year,A757420,Brown Tabby,Stray,Female,4
2 months,A766971,Brown Tabby,Stray,Male,4
1 month,A706761,Brown Tabby,Stray,Female,4
2 months,A676872,Orange Tabby,Stray,Male,4
5 months,A718906,Orange Tabby,Owner Surrender,Male,4
5 months,A733899,Black and White,Stray,Male,4
2 years,A753998,Black,Owner Surrender,Male,4
1 month,A726990,Orange Tabby,Stray,Male,4
2 years,A708669,Brown Tabby,Stray,Female,4
2 months,A680123,Colourpoint,Stray,Male,4
8 years,A758928,Tortie,Stray,Male,4
2 months,A737577,Blue,Stray,Female,4
6 months,A698747,Orange Tabby,Stray,Female,4
2 months,A705872,Orange Tabby,Stray,Male,4
8 months,A723997,Blue,Stray,Female,4
2 months,A680480,Blue,Stray,Male,4
2 months,A757199,Torbie,Stray,Female,4
2 months,A689766,Black and White,Stray,Male,4
2 months,A739001,Orange Tabby,Stray,Male,4
2 months,A742081,Cream Tabby,Stray,Male,4
2 months,A679079,Black and White,Stray,Male,4
1 month,A736401,Blue,Stray,Female,4
2 months,A712369,Brown Tabby,Stray,Female,4
2 months,A712372,Brown Tabby,Stray,Female,4
2 months,A759716,Calico,Stray,Female,4
2 years,A684613,White,Stray,Female,4
2 months,A684609,White,Stray,Female,4
1 month,A737782,Cream Tabby,Stray,Male,4
5 months,A737608,Tortie,Owner Surrender,Female,4
2 months,A759713,Torbie,Stray,Female,4
