age,id,color,intake,sex,time
5 years,A686838,Brown Tabby,Owner Surrender,Male,10
5 months,A734896,Brown Tabby,Stray,Female,10
2 years,A737243,Brown Tabby,Owner Surrender,Male,10
1 year,A758282,Brown Tabby,Owner Surrender,Female,10
2 years,A698111,Brown Tabby,Stray,Male,10
4 years,A718461,Black and White,Stray,Male,10
4 months,A676639,Brown Tabby,Owner Surrender,Female,10
3 months,A715320,Tortie,Stray,Female,10
3 months,A717010,Brown Tabby,Stray,Female,10
3 months,A758219,Orange Tabby,Stray,Male,10
10 months,A759985,Colourpoint,Stray,Female,10
2 months,A681451,Orange Tabby,Stray,Female,10
3 months,A712626,Calico,Stray,Female,10
4 years,A721120,Brown Tabby,Stray,Male,10
1 month,A679320,Brown Tabby,Stray,Female,10
2 months,A665283,Torbie,Stray,Female,10
3 years,A683956,Orange Tabby,Stray,Male,10
4 months,A736677,Black,Owner Surrender,Male,10
6 months,A683092,Calico,Stray,Female,10
2 months,A666676,Tortie,Stray,Female,10
3 months,A709278,Orange Tabby,Stray,Male,10
2 months,A733939,Black,Stray,Male,10
4 months,A740411,Brown Tabby,Stray,Female,10
2 months,A707107,Orange Tabby,Stray,Female,10
4 months,A679504,Black,Stray,Male,10
4 months,A679506,Brown Tabby,Stray,Female,10
2 months,A685262,Tortie,Stray,Female,10
4 months,A685242,Tortie,Owner Surrender,Female,10
2 months,A729471,Tortie,Owner Surrender,Female,10
1 year,A670066,Torbie,Stray,Female,10
5 months,A686286,Black,Owner Surrender,Female,10
2 months,A682140,Black and White,Stray,Male,10
2 months,A669443,Black and White,Stray,Male,10
2 months,A753050,Brown Tabby,Owner Surrender,Male,10
9 years,A757411,Brown Tabby,Stray,Male,10
6 months,A715469,Brown Tabby,Stray,Male,10
3 years,A749461,Orange Tabby,Stray,Male,10
2 years,A752377,Colourpoint,Stray,Female,10
2 months,A732849,Black and White,Stray,Male,10
10 months,A723284,Calico,Stray,Female,10
2 months,A703605,Blue,Owner Surrender,Male,10
4 months,A740239,Brown Tabby,Stray,Female,10
1 month,A729275,Orange Tabby,Stray,Male,10
2 months,A689137,Orange Tabby,Stray,Male,10
1 month,A758570,Black,Stray,Male,10
5 years,A744629,Blue,Owner Surrender,Male,10
2 months,A730504,Black,Stray,Male,10
1 month,A705321,Tortie,Stray,Female,10
2 years,A746695,Orange Tabby,Stray,Male,10
1 year,A666358,Brown Tabby,Stray,Female,10
2 months,A764060,Orange Tabby,Stray,Male,10
2 months,A764059,Orange Tabby,Stray,Male,10
3 years,A697917,Brown Tabby,Owner Surrender,Female,10
5 months,A743457,Black and White,Stray,Female,10
8 months,A752232,Black,Stray,Female,10
1 year,A744725,Brown Tabby,Owner Surrender,Male,10
4 years,A661185,Black,Owner Surrender,Male,10
5 months,A712532,Blue,Owner Surrender,Male,10
5 months,A710949,Black,Owner Surrender,Male,10
1 year,A739712,Orange Tabby,Stray,Male,10
2 months,A691225,Tortie,Stray,Female,10
5 months,A717798,Orange Tabby,Stray,Male,10
1 month,A679319,Brown Tabby,Stray,Female,10
2 months,A706112,Tortie,Stray,Female,10
2 months,A684650,Orange Tabby,Owner Surrender,Male,10
5 years,A670652,Blue,Owner Surrender,Male,10
2 months,A717014,Brown Tabby,Stray,Male,10
6 months,A720428,Torbie,Owner Surrender,Female,10
2 months,A728169,Black and White,Stray,Female,10
3 months,A741890,Torbie,Stray,Female,10
3 months,A755731,Brown Tabby,Stray,Male,10
2 months,A689765,Brown Tabby,Stray,Male,10
2 months,A680269,Orange Tabby,Stray,Female,10
2 months,A752424,White,Stray,Female,10
2 months,A738015,Gray Tabby,Owner Surrender,Male,10
3 months,A715852,Black and White,Stray,Male,10
2 months,A690640,Tortie,Owner Surrender,Male,10
2 months,A716044,Brown Tabby,Owner Surrender,Female,10
6 months,A758438,Brown Tabby,Stray,Female,10
2 months,A682780,Black and White,Stray,Female,10
2 months,A693191,Brown Tabby,Stray,Male,10
2 years,A702115,Brown Tabby,Owner Surrender,Male,10
2 months,A666327,Brown Tabby,Stray,Male,10
2 months,A677360,Brown Tabby,Stray,Male,10
2 years,A700483,Black and White,Stray,Female,10
3 months,A717018,Orange Tabby,Stray,Female,10
6 months,A669597,Black,Owner Surrender,Female,11
2 months,A665424,Black,Stray,Female,16
2 months,A668646,Black,Stray,Female,18
1 month,A678584,Black,Stray,Female,25
1 month,A685110,Black,Stray,Female,29
5 months,A677098,Black,Stray,Female,145
3 months,A722283,Calico,Stray,Female,100
3 months,A722284,Black and White,Stray,Male,100
3 months,A722281,Calico,Stray,Female,100
8 years,A759244,Brown Tabby,Owner Surrender,Male,100
4 months,A725261,Black and White,Stray,Male,100
4 months,A711483,Black,Stray,Male,100
1 year,A701956,Brown Tabby,Stray,Male,100
4 years,A759242,Black,Owner Surrender,Male,100
4 months,A713075,Black and White,Stray,Female,100
2 years,A702299,Cream Tabby,Stray,Male,100
4 months,A749890,Brown Tabby,Owner Surrender,Female,100
4 years,A672277,Orange Tabby,Stray,Male,100
4 months,A748941,Blue,Stray,Female,100
4 months,A740461,Torbie,Stray,Female,100
4 months,A740464,Brown Tabby,Stray,Male,100
4 months,A688099,Tortie,Stray,Female,100
4 months,A728160,Colourpoint,Stray,Male,100
4 months,A733546,Black,Stray,Male,100
5 months,A729008,Black and White,Stray,Male,100
5 years,A743900,Cream Tabby,Stray,Male,100
4 months,A688443,Black,Stray,Female,101
4 months,A688444,Tortie,Stray,Female,101
